data_arrvial_time_S,TOTAL_DATA,TOTAL_DATA_1024,TOTAL_DATA_1000
0,219,299.4140625,306.59999999999997
1,522,713.671875,730.8
2,594,812.109375,831.5999999999999
3,619,846.2890625,866.5999999999999
4,479,654.8828125,670.5999999999999
5,468,639.84375,655.1999999999999
6,515,704.1015625,721.0
7,414,566.015625,579.5999999999999
8,603,824.4140625,844.1999999999999
9,621,849.0234375,869.4
10,627,857.2265625,877.8
11,604,825.78125,845.5999999999999
12,583,797.0703125,816.1999999999999
13,587,802.5390625,821.8
14,525,717.7734375,735.0
15,645,881.8359375,902.9999999999999
16,632,864.0625,884.8
17,697,952.9296875,975.8
18,631,862.6953125,883.4
19,703,961.1328125,984.1999999999999
20,23,31.4453125,32.199999999999996
21,1,1.3671875,1.4
22,1,1.3671875,1.4
23,1,1.3671875,1.4
24,1,1.3671875,1.4
25,1,1.3671875,1.4
26,1,1.3671875,1.4
27,1,1.3671875,1.4
28,1,1.3671875,1.4
29,1,1.3671875,1.4
30,434,593.359375,607.5999999999999
31,409,559.1796875,572.5999999999999
32,357,488.0859375,499.79999999999995
33,485,663.0859375,679.0
34,456,623.4375,638.4
35,440,601.5625,616.0
36,237,324.0234375,331.79999999999995
37,255,348.6328125,357.0
38,1,1.3671875,1.4
39,1,1.3671875,1.4
40,1,1.3671875,1.4
41,436,596.09375,610.4
42,667,911.9140625,933.8
43,688,940.625,963.1999999999999
44,599,818.9453125,838.5999999999999
45,502,686.328125,702.8
46,515,704.1015625,721.0
47,409,559.1796875,572.5999999999999
48,142,194.140625,198.79999999999998
49,157,214.6484375,219.79999999999998
50,352,481.25,492.79999999999995
51,663,906.4453125,928.1999999999999
52,706,965.234375,988.4
53,674,921.484375,943.5999999999999
54,630,861.328125,882.0
55,708,967.96875,991.1999999999999
56,724,989.84375,1013.5999999999999
57,726,992.578125,1016.4
58,779,1065.0390625,1090.6
59,790,1080.078125,1106.0
