data_arrvial_time_S,TOTAL_DATA,TOTAL_DATA_1024,TOTAL_DATA_1000
0,1857,2538.8671875,2599.7999999999997
1,1713,2341.9921875,2398.2
2,1897,2593.5546875,2655.7999999999997
3,2170,2966.796875,3038.0
4,2281,3118.5546875,3193.3999999999996
5,2442,3338.671875,3418.7999999999997
6,2630,3595.703125,3681.9999999999995
7,2466,3371.484375,3452.3999999999996
8,2336,3193.75,3270.3999999999996
9,2115,2891.6015625,2961.0
10,1186,1621.484375,1660.3999999999999
11,910,1244.140625,1274.0
12,995,1360.3515625,1393.0
13,1132,1547.65625,1584.8
14,944,1290.625,1321.6
15,1218,1665.234375,1705.1999999999998
16,1366,1867.578125,1912.3999999999999
17,1620,2214.84375,2268.0
18,841,1149.8046875,1177.3999999999999
19,726,992.578125,1016.4
20,575,786.1328125,805.0
21,609,832.6171875,852.5999999999999
22,834,1140.234375,1167.6
23,1125,1538.0859375,1575.0
24,1491,2038.4765625,2087.4
25,399,545.5078125,558.5999999999999
26,617,843.5546875,863.8
27,1511,2065.8203125,2115.4
28,1204,1646.09375,1685.6
29,1083,1480.6640625,1516.1999999999998
30,1571,2147.8515625,2199.3999999999996
31,736,1006.25,1030.3999999999999
32,1098,1501.171875,1537.1999999999998
33,995,1360.3515625,1393.0
34,1114,1523.046875,1559.6
35,1665,2276.3671875,2331.0
36,1163,1590.0390625,1628.1999999999998
37,1076,1471.09375,1506.3999999999999
38,785,1073.2421875,1099.0
39,1368,1870.3125,1915.1999999999998
40,1141,1559.9609375,1597.3999999999999
41,1463,2000.1953125,2048.2
42,950,1298.828125,1330.0
43,719,983.0078125,1006.5999999999999
44,883,1207.2265625,1236.1999999999998
45,897,1226.3671875,1255.8
46,1171,1600.9765625,1639.3999999999999
47,345,471.6796875,482.99999999999994
48,296,404.6875,414.4
49,434,593.359375,607.5999999999999
50,304,415.625,425.59999999999997
51,800,1093.75,1120.0
52,1291,1765.0390625,1807.3999999999999
53,583,797.0703125,816.1999999999999
54,400,546.875,560.0
55,431,589.2578125,603.4
56,447,611.1328125,625.8
57,1216,1662.5,1702.3999999999999
58,1099,1502.5390625,1538.6
59,1171,1600.9765625,1639.3999999999999
