data_arrvial_time_S,TOTAL_DATA,TOTAL_DATA_1024,TOTAL_DATA_1000
0,221,302.1484375,309.4
1,229,313.0859375,320.59999999999997
2,164,224.21875,229.6
3,117,159.9609375,163.79999999999998
4,161,220.1171875,225.39999999999998
5,198,270.703125,277.2
6,241,329.4921875,337.4
7,212,289.84375,296.79999999999995
8,223,304.8828125,312.2
9,129,176.3671875,180.6
10,189,258.3984375,264.59999999999997
11,302,412.890625,422.79999999999995
12,256,350.0,358.4
13,134,183.203125,187.6
14,136,185.9375,190.39999999999998
15,131,179.1015625,183.39999999999998
16,77,105.2734375,107.8
17,16,21.875,22.4
18,34,46.484375,47.599999999999994
19,19,25.9765625,26.599999999999998
20,58,79.296875,81.19999999999999
21,176,240.625,246.39999999999998
22,245,334.9609375,343.0
23,366,500.390625,512.4
24,198,270.703125,277.2
25,227,310.3515625,317.79999999999995
26,228,311.71875,319.2
27,182,248.828125,254.79999999999998
28,119,162.6953125,166.6
29,33,45.1171875,46.199999999999996
32,19,25.9765625,26.599999999999998
33,5,6.8359375,7.0
34,10,13.671875,14.0
35,6,8.203125,8.399999999999999
36,1,1.3671875,1.4
37,18,24.609375,25.2
38,81,110.7421875,113.39999999999999
39,66,90.234375,92.39999999999999
40,2,2.734375,2.8
42,10,13.671875,14.0
44,2,2.734375,2.8
46,49,66.9921875,68.6
47,19,25.9765625,26.599999999999998
48,9,12.3046875,12.6
54,6,8.203125,8.399999999999999
56,2,2.734375,2.8
