data_arrvial_time_S,TOTAL_DATA,TOTAL_DATA_1024,TOTAL_DATA_1000
0,1264,1728.125,1769.6
1,1640,2242.1875,2296.0
2,1389,1899.0234375,1944.6
3,1503,2054.8828125,2104.2
4,1597,2183.3984375,2235.7999999999997
5,1488,2034.375,2083.2
6,1350,1845.703125,1889.9999999999998
7,1028,1405.46875,1439.1999999999998
8,1211,1655.6640625,1695.3999999999999
9,1397,1909.9609375,1955.8
10,1796,2455.46875,2514.3999999999996
11,1935,2645.5078125,2709.0
12,1937,2648.2421875,2711.7999999999997
13,1923,2629.1015625,2692.2
14,1625,2221.6796875,2275.0
15,1620,2214.84375,2268.0
16,1966,2687.890625,2752.3999999999996
17,1788,2444.53125,2503.2
18,1688,2307.8125,2363.2
19,1686,2305.078125,2360.3999999999996
20,2001,2735.7421875,2801.3999999999996
21,1455,1989.2578125,2036.9999999999998
22,842,1151.171875,1178.8
23,1152,1575.0,1612.8
24,1602,2190.234375,2242.7999999999997
25,1231,1683.0078125,1723.3999999999999
26,1547,2115.0390625,2165.7999999999997
27,1824,2493.75,2553.6
28,1612,2203.90625,2256.7999999999997
29,1463,2000.1953125,2048.2
30,1127,1540.8203125,1577.8
31,1421,1942.7734375,1989.3999999999999
32,2085,2850.5859375,2919.0
33,1950,2666.015625,2730.0
34,2261,3091.2109375,3165.3999999999996
35,2208,3018.75,3091.2
36,2670,3650.390625,3737.9999999999995
37,2345,3206.0546875,3283.0
38,2349,3211.5234375,3288.6
39,1847,2525.1953125,2585.7999999999997
40,1765,2413.0859375,2471.0
41,1349,1844.3359375,1888.6
42,1211,1655.6640625,1695.3999999999999
43,979,1338.4765625,1370.6
44,903,1234.5703125,1264.1999999999998
45,709,969.3359375,992.5999999999999
46,545,745.1171875,763.0
47,727,993.9453125,1017.8
48,812,1110.15625,1136.8
49,788,1077.34375,1103.1999999999998
50,976,1334.375,1366.3999999999999
51,707,966.6015625,989.8
52,829,1133.3984375,1160.6
53,675,922.8515625,944.9999999999999
54,750,1025.390625,1050.0
55,643,879.1015625,900.1999999999999
56,526,719.140625,736.4
57,650,888.671875,909.9999999999999
58,541,739.6484375,757.4
59,431,589.2578125,603.4
